DMSO,Nutlin
SHPK_hg38,AFG3L2_hg38
BRCC3_hg38,AGK_hg38
MSX1_hg38,SNF8_hg38
RAD54L2_hg38,RANBP9_hg38
LIMK1_hg38,GATAD1_hg38
LYPD8_hg38,SKIC8_hg38
RNU4-30P_hg38,CGGBP1_hg38
RPL9P31_hg38,CASC19_hg38
ENSG00000227311_hg38,PPP1R13L_hg38
ENSG00000225519_hg38,KDM4B_hg38
ENSG00000225949_hg38,UTP18_hg38
ENSG00000259910_hg38,TSTD2_hg38
RN7SKP39_hg38,MGST3_hg38
SFTPA3P_hg38,DNAJC5_hg38
HERC2P6_hg38,PGRMC1_hg38
ENSG00000225488_hg38,MLH1_hg38
PACRG-AS2_hg38,ENSG00000291073_hg38
ENSG00000225867_hg38,SYAP1_hg38
ENSG00000261541_hg38,ACTR6_hg38
SUB1P3_hg38,EAF1_hg38
ENSG00000225028_hg38,MAP2K7_hg38
GGT2P_hg38,ISY1_hg38
RPL29P11_hg38,LINC02438_hg38
ENSG00000224595_hg38,MYL12A_hg38
LINC02837_hg38,ABI1_hg38
HERC2P5_hg38,GRPEL2_hg38
CISTR_hg38,RAD52_hg38
UBE2SP2_hg38,MBOAT2_hg38
LINC01070_hg38,RBM18_hg38
GJA5_hg38,ELOVL6_hg38
ENSG00000244712_hg38,EHD4_hg38
ENSG00000236885_hg38,ELP1_hg38
ENSG00000259346_hg38,TAF3_hg38
ENSG00000233775_hg38,AMMECR1L_hg38
U3_hg38-36,MRPL30_hg38
RPL23AP50_hg38,ZNF761_hg38
PYDC2_hg38,CRTC3_hg38
LINC02949_hg38,PPP2R2C_hg38
ENSG00000253397_hg38,PTCD2_hg38
GLRX5P2_hg38,SRP54_hg38
HMGN2P27_hg38,WDR55_hg38
PTPRN2-AS1_hg38,AASDH_hg38
TUBB7P_hg38,JAK2_hg38
HNRNPA3P13_hg38,SLC35D2_hg38
ENSG00000250726_hg38,ODC1_hg38
ENSG00000108958_hg38,FEZ2_hg38
LINC02171_hg38,DENND1B_hg38
ENPP7P9_hg38,AK3_hg38
LINC02750_hg38,WDR41_hg38
OOSP1P1_hg38,RALGDS_hg38
KRT8P32_hg38,ENSG00000285827_hg38
ENSG00000250122_hg38,PDE12_hg38
LINC01868_hg38,TMED4_hg38
ENSG00000250020_hg38,ADRM1_hg38
USP17L14P_hg38,RRP36_hg38
C11orf21_hg38,CEP57_hg38
PPIAP3_hg38,IK_hg38
SLC6A14P2_hg38,KDM4A_hg38
LINC02122_hg38,KLF13_hg38
PIMREGP4_hg38,TGFBRAP1_hg38
ENSG00000236390_hg38,PRKCH_hg38
ENSG00000235429_hg38,MRPL45P2_hg38
DAOA-AS1_hg38,TSTD3_hg38
TOPORSLP_hg38,GOLPH3_hg38
LINC02304_hg38,UHRF2_hg38
LINC01502_hg38,MAGOHB_hg38
ST13P19_hg38,DEAF1_hg38
ZMYND19P1_hg38,EXPH5_hg38
RPL17P44_hg38,AFMID_hg38
BMS1P15_hg38,TAB3_hg38
ENSG00000228318_hg38,LGALS8_hg38
OR9H1P_hg38,PPP4R1_hg38
MTAPP1_hg38,VPS4B_hg38
LINC00710_hg38,ZNF81_hg38
RN7SL354P_hg38,SRFBP1_hg38
ENSG00000258012_hg38,ELOVL7_hg38
ZFYVE9P1_hg38,AP5M1_hg38
ENSG00000257378_hg38,MPZL1_hg38
ENSG00000229662_hg38,ATPAF1_hg38
LINC00364_hg38,MAD2L1_hg38
FAM238B_hg38,POLE3_hg38
CIBAR1P2_hg38,USP4_hg38
ENSG00000230668_hg38,POLR2F_hg38
CEACAMP4_hg38,CEBPZOS_hg38
RPL27P8_hg38,CCNK_hg38
RN7SL519P_hg38,LYRM7_hg38
RN7SL70P_hg38,ANAPC10_hg38
LINC01520_hg38,C6orf62_hg38
ENSG00000236989_hg38,KIDINS220_hg38
OFD1P8Y_hg38,PKN1_hg38
ENSG00000254933_hg38,TTC39C_hg38
NDUFAF4P4_hg38,CDC37L1_hg38
MYO5BP2_hg38,IBTK_hg38
ALDOAP1_hg38,FARSA_hg38
CSF3_hg38,YEATS4_hg38
ENSG00000291295_hg38,UBR3_hg38
ENSG00000266479_hg38,SLC35E1_hg38
HMGN2P8_hg38,DAGLB_hg38
ENSG00000280040_hg38,MTRR_hg38
KRT3_hg38,GRSF1_hg38
CYP4A11_hg38,NADK_hg38
PRR27_hg38,ST3GAL1_hg38
ENSG00000279083_hg38,RNF11_hg38
ENSG00000279036_hg38,TRAPPC12_hg38
RAB41_hg38,LCMT1_hg38
EPB41L4A-DT_hg38,ACSL4_hg38
ENSG00000278413_hg38,CERS6_hg38
H3P28_hg38,UEVLD_hg38
ENSG00000277350_hg38,FBXO30_hg38
ENSG00000277311_hg38,NDUFV1_hg38
ENSG00000277143_hg38,PPIE_hg38
ENSG00000276109_hg38,MRPS5_hg38
ENSG00000274979_hg38,ALDH9A1_hg38
TUBAP6_hg38,PROM1_hg38
ENSG00000274328_hg38,C5orf15_hg38
RN7SKP193_hg38,SLC66A2_hg38
RN7SKP133_hg38,PEX1_hg38
ENSG00000273066_hg38,SH3GL1_hg38
ENSG00000272164_hg38,AHCTF1_hg38
ENSG00000272114_hg38,MECP2_hg38
ENSG00000271608_hg38,MARF1_hg38
C1orf21-DT_hg38,TRIR_hg38
NCR3_hg38,PCF11_hg38
SLC22A7_hg38,CTCF_hg38
ENSG00000270997_hg38,SLC37A1_hg38
LINC01310_hg38,SUB1_hg38
PDLIM1P1_hg38,ADGRG6_hg38
CD300LF_hg38,CDK17_hg38
ENSG00000280281_hg38,BAG3_hg38
ENSG00000280485_hg38,RPAIN_hg38
ENSG00000287747_hg38,CSNK2A2_hg38
ENSG00000291236_hg38,TMED2_hg38
CDH16_hg38,PIGT_hg38
ENSG00000291000_hg38,SEPHS1_hg38
ENSG00000289140_hg38,PSMG2_hg38
FEV_hg38,KCNAB2_hg38
ENSG00000288997_hg38,CCDC191_hg38
ENSG00000288947_hg38,CPE_hg38
ENSG00000288938_hg38,SMAD1_hg38
ENSG00000288782_hg38,ENSG00000288891_hg38
ENSG00000288437_hg38,SNAP23_hg38
AQP4_hg38,MAPT_hg38
ENSG00000287970_hg38,DIABLO_hg38
OR9I1_hg38,CHMP7_hg38
ENSG00000287560_hg38,DNAJB12_hg38
ENSG00000281571_hg38,DESI2_hg38
ENSG00000287360_hg38,CDC20_hg38
ENSG00000286998_hg38,APRG1_hg38
ENSG00000286948_hg38,SUMF2_hg38
ENSG00000286487_hg38,OSBPL6_hg38
ENSG00000286350_hg38,SNAPC3_hg38
AMBN_hg38,ZCCHC4_hg38
ENSG00000286306_hg38,FBH1_hg38
GUCY1B1_hg38,GPR89B_hg38
DERPC_hg38,SCYL2_hg38
ENSG00000285694_hg38,MTFMT_hg38
ENSG00000285598_hg38,PRDM2_hg38
ENSG00000285541_hg38,IL6ST_hg38
MIR632_hg38,RCHY1_hg38
ENSG00000270631_hg38,KLHL22_hg38
NEFL_hg38,EXD3_hg38
ENSG00000218565_hg38,SLC8B1_hg38
ENSG00000269504_hg38,CERS2_hg38
ENSG00000267629_hg38,SLC36A4_hg38
RPS7P6_hg38,SYNJ1_hg38
ENSG00000268293_hg38,ZNF587_hg38
ENSG00000267529_hg38,SMNDC1_hg38
ENSG00000267650_hg38,TTC8_hg38
ENSG00000269980_hg38,TOB1_hg38
PTGES3P2_hg38,PI4KB_hg38
NACAP7_hg38,MED26_hg38
HMGB3P13_hg38,CFAP20DC_hg38
FOXO1B_hg38,NFATC2_hg38
KRT18P48_hg38,NEK1_hg38
KRT8P43_hg38,CRIM1_hg38
ZNF496_hg38,USP38_hg38
COX20P2_hg38,WASL_hg38
VDAC1P3_hg38,INIP_hg38
TPPP2_hg38,MELTF_hg38
ENSG00000234768_hg38,TWSG1_hg38
GARIN6_hg38,SH3YL1_hg38
CENPIP1_hg38,ARL5A_hg38
ENSG00000224844_hg38,METTL6_hg38
OR1AA1P_hg38,PLS3_hg38
RPL12P2_hg38,ACOX3_hg38
RPL7P8_hg38,DHX30_hg38
BCRP5_hg38,UBE2Q2P1_hg38
RPS3AP5_hg38,FBXW2_hg38
ENSG00000235154_hg38,EVL_hg38
ENSG00000235215_hg38,SDE2_hg38
ENSG00000224570_hg38,IPPK_hg38
LINC00383_hg38,CSTF2_hg38
PRSS42P_hg38,SLC41A1_hg38
BRD7P6_hg38,MEF2D_hg38
TMEM78_hg38,CDKL3_hg38
FUT7_hg38,PRKAA1_hg38
LINC02785_hg38,IGSF9B_hg38
ZNF879_hg38,ENSG00000287923_hg38
KCNJ8_hg38,ENSG00000286163_hg38
LINC00544_hg38,ENTPD6_hg38
